meanRT,RT10prctile,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,N200amplitudes,N200latencies,RemoveN200,minBETAamplitudes,minBETAlatencies,RemoveminBETA,P300amplitudes,P300latencies,RemoveP300,minRPamplitudes,minRPlatencies,RemoveminRP
0.47201,0.38477,0.53846,1,112,1,1,-0.1408,0.21191,0,0.10977,0.2048,1,0.062382,0.27539,1,-0.051974,0.17382,0
0.58584,0.46504,0.69231,2,112,1,1,-0.1123,0.2168,0,0.082976,0.2048,1,0.056733,0.27539,1,-0.039812,0.28319,0
0.57759,0.42021,0.51515,3,112,1,1,-0.1355,0.22559,0,0.012165,0.2048,1,0.073034,0.27539,1,-0.011214,0.21581,0
0.54469,0.38457,0.48837,4,112,1,1,-0.083282,0.21191,0,0.13629,0.55637,0,0.036403,0.27539,1,-0.054506,0.10351,0
0.54489,0.37061,0.63333,5,112,1,1,-0.10549,0.22852,0,0.23079,0.44406,0,0.067851,0.27539,1,-0.047233,0.036128,0
0.59847,0.44922,0.73239,6,112,1,1,-0.10822,0.22266,0,0.053674,0.2048,1,0.05948,0.27539,1,-0.047866,0.11913,0
0.47552,0.37363,0.62903,1,112,2,2,-0.14856,0.21875,0,-0.0062725,0.46359,0,0.065488,0.40723,0,-0.086435,0.12304,0
0.58123,0.41846,0.68,2,112,2,2,-0.11542,0.22168,0,-0.10031,0.47336,0,0.044229,0.27539,1,-0.056555,0.097651,0
0.64679,0.40098,0.4375,3,112,2,2,-0.10853,0.21875,0,-0.1508,0.36105,0,0.040513,0.27539,1,-0.080763,0.069331,0
0.49339,0.39941,0.86076,4,112,2,2,-0.074565,0.19922,0,-0.016581,0.20969,0,0.072895,0.49414,0,-0.042449,0.027339,0
0.5335,0.40508,0.74684,5,112,2,2,-0.13228,0.20801,0,-0.1158,0.2048,1,0.064541,0.41309,0,-0.081113,0.13476,0
0.49715,0.40723,0.73333,6,112,2,2,-0.13395,0.20215,0,-0.019328,0.2048,1,0.055897,0.54395,0,-0.061507,0.24413,0
0.49776,0.39395,0.63934,1,116,1,3,-0.096755,0.18164,0,-0.21086,0.44406,0,0.031923,0.27539,1,-0.090178,0.1455,0
0.52786,0.40117,0.65385,2,116,1,3,-0.10334,0.19043,0,0.015689,0.44406,0,0.04605,0.6582,0,-0.061395,0.19824,0
0.53315,0.42881,0.71053,3,116,1,3,-0.10949,0.19043,0,0.11373,0.32688,0,0.10139,0.27539,1,-0.0043464,0.12499,0
0.49497,0.38691,0.58108,4,116,1,3,-0.13743,0.19434,0,-0.10663,0.20969,0,0.11298,0.27539,1,-0.11965,0.008785,0
0.61486,0.46191,0.66667,5,116,1,3,-0.1555,0.19922,0,-0.2758,0.28781,0,0.096147,0.27539,1,-0.1108,0.010738,0
0.71612,0.53438,0.60759,6,116,1,3,-0.10162,0.20801,0,-0.31133,0.21945,0,0.05872,0.27832,0,-0.037753,0.050777,0
0.5591,0.38018,0.5,1,143,1,4,-0.15161,0.21973,0,-0.34922,0.53195,0,0.03892,0.48145,0,-0.04587,0.0097616,0
0.75621,0.54004,0.67089,2,143,1,4,-0.10097,0.23633,0,-0.53562,0.41477,0,0.11128,0.44531,0,-0.094455,0.17382,0
0.78774,0.51895,0.71053,3,143,1,4,-0.10383,0.22754,0,0.40035,0.2341,0,0.0037976,0.65332,0,-0.095656,0.00097264,1
