RT,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,Noisetimes,Intertrial,Stimtime,Spatial_frequencies,Random_rotations,Speed_cutoff,Given_feedback,N200amplitudes,N200latencies,RemoveN200,RemoveRT,Training,Artifact
0.56543,1,4,112,1,1,0.75,1.9063,2.2833,2.4,312.31,1,2,-41.646,0.16406,0,0,1,0
0.64746,0,4,112,1,1,0.575,1.8691,2.1,2.6,146.95,0,0,-36.988,0.18457,0,0,1,0
0.57129,1,4,112,1,1,0.825,1.7198,2.5333,2.4,258.55,1,2,-44.18,0.25879,0,0,1,0
NaN,NaN,4,112,1,1,0.85,1.545,2.6167,2.4,235.43,1,1,NaN,NaN,0,0,0,0
0.38477,0,4,112,1,1,0.975,1.7403,2.5167,2.6,53.548,1,1,-33.598,0.21094,0,0,1,0
NaN,NaN,4,112,1,1,0.825,1.8749,2.3333,2.4,53.454,1,2,NaN,NaN,0,1,1,0
0.5625,0,4,112,1,1,0.675,1.9351,2.475,2.6,197.25,0,0,-63.31,0.2168,0,0,1,0
0.52148,0,4,112,1,1,0.85,1.7589,2.65,2.6,265.51,1,1,-45.552,0.22656,0,0,1,0
NaN,NaN,4,112,1,1,0.925,1.705,2.5083,2.6,185.79,0,0,NaN,NaN,0,0,0,0
0.38379,0,4,112,1,1,0.875,1.5521,2.825,2.6,110.19,1,1,-30.141,0.24023,0,0,1,0
0.62402,1,4,112,1,1,0.875,1.9448,2.675,2.4,199.14,0,0,-71.923,0.23926,0,0,1,0
NaN,NaN,4,112,1,1,0.8,1.7772,2.5,2.6,178,1,2,NaN,NaN,1,1,1,0
NaN,NaN,4,112,1,1,0.975,1.8149,2.7,2.6,215.68,1,1,NaN,NaN,0,1,0,0
0.53027,1,4,112,1,1,0.8,1.6681,2.5083,2.4,38.148,1,2,-53.378,0.18652,0,0,1,0
0.58691,0,4,112,1,1,0.775,1.5684,2.3167,2.4,139.49,0,0,-46.449,0.2373,0,0,1,0
NaN,NaN,4,112,1,1,0.675,1.8,2.5583,2.6,209.68,0,0,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.65,1.9126,2.25,2.6,357.87,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.975,1.5759,2.7417,2.6,40.004,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.675,1.8498,2.5417,2.6,271.91,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.925,1.6814,2.75,2.4,105.11,1,1,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.55,1.5944,2.425,2.4,53.136,0,0,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.675,1.9645,2.5583,2.4,346.91,1,1,NaN,NaN,0,0,0,0
0.5498,0,4,112,1,1,0.7,1.6576,2.3917,2.4,223.92,1,1,-60.785,0.24023,0,0,1,0
0.55176,0,4,112,1,1,0.825,1.5482,2.6833,2.6,276.35,1,1,-11.614,0.17578,0,0,1,0
0.68652,1,4,112,1,1,0.625,1.917,2.2833,2.4,153.1,0,0,-40.156,0.1582,0,0,1,0
0.46387,0,4,112,1,1,0.625,1.5495,2.1583,2.6,176.81,1,1,-5.0465,0.16504,0,0,1,0
NaN,NaN,4,112,1,1,0.925,1.6005,2.9,2.4,173.4,0,0,NaN,NaN,1,0,0,0
0.59473,0,4,112,1,1,0.825,1.879,2.6833,2.6,143.6,0,0,-69.135,0.26367,0,0,1,0
0.50684,0,4,112,1,1,0.6,1.8351,2.1083,2.6,96.11,1,1,-28.33,0.25781,0,0,1,0
NaN,NaN,4,112,1,1,0.55,1.8712,2.525,2.6,187.85,0,0,NaN,NaN,0,0,0,0
0.56543,0,4,112,1,1,0.75,1.9547,2.4667,2.6,33.631,1,1,-34.089,0.20508,0,0,1,0
NaN,NaN,4,112,1,1,0.55,1.9373,2.4,2.6,260.13,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.65,1.8832,2.5917,2.6,341.44,1,1,NaN,NaN,0,0,0,0
0.53711,0,4,112,1,1,0.725,1.8178,2.475,2.4,221.56,1,1,-28.51,0.19824,0,0,1,0
0.55664,1,4,112,1,1,0.625,1.9845,2.5083,2.6,57.192,1,2,-35.586,0.19922,0,0,1,0
0.45508,1,4,112,1,1,0.725,1.9157,2.5083,2.6,318.5,1,2,-56.483,0.20312,0,0,1,0
NaN,NaN,4,112,1,1,0.825,1.5509,2.4417,2.6,270.73,1,2,NaN,NaN,0,0,0,0
0.36914,1,4,112,1,1,0.75,1.5616,2.525,2.6,187.14,1,2,-11.991,0.19531,0,0,1,0
NaN,NaN,4,112,1,1,0.85,1.7488,2.7583,2.6,175.49,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.575,1.7334,2.1,2.6,99.149,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.825,1.8801,2.575,2.6,37.787,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,1,1.6308,2.5833,2.4,228.33,1,1,NaN,NaN,1,1,1,0
0.60449,0,4,112,1,1,0.75,1.8785,2.6583,2.6,257.05,0,0,-8.3248,0.25977,0,0,1,0
NaN,NaN,4,112,1,1,0.825,1.8463,2.6917,2.4,292.46,1,2,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.625,1.7171,2.5333,2.4,290.44,1,2,NaN,NaN,0,1,1,0
0.44824,1,4,112,1,1,0.525,1.8431,2.0417,2.4,70.329,1,2,-62.387,0.23047,0,0,1,0
NaN,NaN,4,112,1,1,0.525,1.56,2.5083,2.4,356.68,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.875,1.6278,2.4583,2.6,189.67,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.775,1.5484,2.3583,2.6,20.174,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.55,1.5301,2.15,2.6,81.227,1,2,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.9,1.6574,2.6667,2.6,201.95,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.875,1.6701,2.425,2.4,169.72,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.725,1.7007,2.375,2.4,32.265,1,2,NaN,NaN,1,1,1,0
0.82227,0,4,112,1,1,0.55,1.9407,2.5333,2.6,218.57,0,0,-21.555,0.21582,0,0,1,0
NaN,NaN,4,112,1,1,0.525,1.9592,2.275,2.4,78.815,1,2,NaN,NaN,1,1,1,0
NaN,NaN,4,112,1,1,0.625,1.7458,2.55,2.6,2.5132,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.625,1.9238,2.275,2.6,168.77,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.975,1.5798,2.925,2.6,340.61,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.925,1.694,2.5,2.6,2.7448,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.9,1.5932,2.4167,2.6,20.207,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.525,1.8656,2.25,2.6,286.11,0,0,NaN,NaN,0,0,0,0
0.82324,0,4,112,1,1,0.7,1.8371,2.4833,2.4,175.1,0,0,-24.062,0.18945,0,0,1,0
NaN,NaN,4,112,1,1,0.575,1.6674,2.0917,2.6,31.17,1,2,NaN,NaN,1,1,0,0
0.39258,1,4,112,1,1,0.725,1.6217,2.675,2.6,43.149,1,2,-56.238,0.14453,0,0,1,0
NaN,NaN,4,112,1,1,0.975,1.9079,2.5833,2.6,313.09,1,2,NaN,NaN,1,0,0,0
NaN,NaN,4,112,1,1,0.6,1.792,2.3833,2.6,261.39,1,2,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.975,1.7659,2.5833,2.4,346.71,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.75,1.9986,2.45,2.4,9.7414,1,2,NaN,NaN,0,1,1,0
0.43555,1,4,112,1,1,0.725,1.507,2.7083,2.4,126.33,1,2,-35.419,0.20508,0,0,1,0
NaN,NaN,4,112,1,1,0.875,1.752,2.4583,2.6,93.728,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.825,1.7221,2.75,2.6,228.91,1,2,NaN,NaN,0,1,1,0
